# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-10-26 14:37:52 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 02175000 EDISTO RIVER NR GIVHANS, SC
# -----------------------------------------------------------------------------------
#
# Data provided for site 02175000
#            TS   parameter     Description
#        128196       00065     Gage height, feet
#        128198       00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output:#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	128196_00065	128196_00065_cd	128198_00060	128198_00060_cd
USGS	02175000	2016-06-01 20:00	EST	5.53	P	1820	P
USGS	02175000	2016-06-01 21:00	EST	5.53	P	1820	P
USGS	02175000	2016-06-01 22:00	EST	5.53	P	1820	P
USGS	02175000	2016-06-01 23:00	EST	5.52	P	1820	P
USGS	02175000	2016-06-02 00:00	EST	5.52	P	1820	P
USGS	02175000	2016-06-02 01:00	EST	5.52	P	1820	P
USGS	02175000	2016-06-02 02:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-02 03:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-02 04:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-02 05:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-02 06:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 07:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 08:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 09:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 10:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 11:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 12:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 13:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 14:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 15:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 16:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 17:00	EST	5.47	P	1790	P
USGS	02175000	2016-06-02 18:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 19:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 20:00	EST	5.49	P	1800	P
USGS	02175000	2016-06-02 21:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 22:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-02 23:00	EST	5.50	P	1810	P
USGS	02175000	2016-06-03 00:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-03 01:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-03 02:00	EST	5.51	P	1810	P
USGS	02175000	2016-06-03 03:00	EST	5.52	P	1820	P
USGS	02175000	2016-06-03 04:00	EST	5.52	P	1820	P
USGS	02175000	2016-06-03 05:00	EST	5.53	P	1820	P
USGS	02175000	2016-06-03 06:00	EST	5.53	P	1820	P
USGS	02175000	2016-06-03 07:00	EST	5.54	P	1830	P
USGS	02175000	2016-06-03 08:00	EST	5.53	P	1820	P
USGS	02175000	2016-06-03 09:00	EST	5.55	P	1830	P
USGS	02175000	2016-06-03 10:00	EST	5.55	P	1830	P
USGS	02175000	2016-06-03 11:00	EST	5.56	P	1830	P
USGS	02175000	2016-06-03 12:00	EST	5.55	P	1830	P
USGS	02175000	2016-06-03 13:00	EST	5.56	P	1830	P
USGS	02175000	2016-06-03 14:00	EST	5.57	P	1840	P
USGS	02175000	2016-06-03 15:00	EST	5.56	P	1830	P
USGS	02175000	2016-06-03 16:00	EST	5.57	P	1840	P
USGS	02175000	2016-06-03 17:00	EST	5.58	P	1840	P
USGS	02175000	2016-06-03 18:00	EST	5.58	P	1840	P
USGS	02175000	2016-06-03 19:00	EST	5.55	P	1830	P
USGS	02175000	2016-06-03 20:00	EST	5.60	P	1850	P
USGS	02175000	2016-06-03 21:00	EST	5.61	P	1860	P
USGS	02175000	2016-06-03 22:00	EST	5.61	P	1860	P
USGS	02175000	2016-06-03 23:00	EST	5.61	P	1860	P
USGS	02175000	2016-06-04 00:00	EST	5.62	P	1860	P
USGS	02175000	2016-06-04 01:00	EST	5.62	P	1860	P
USGS	02175000	2016-06-04 02:00	EST	5.63	P	1870	P
USGS	02175000	2016-06-04 03:00	EST	5.64	P	1870	P
USGS	02175000	2016-06-04 04:00	EST	5.65	P	1880	P
USGS	02175000	2016-06-04 05:00	EST	5.65	P	1880	P
USGS	02175000	2016-06-04 06:00	EST	5.66	P	1880	P
USGS	02175000	2016-06-04 07:00	EST	5.66	P	1880	P
USGS	02175000	2016-06-04 08:00	EST	5.67	P	1890	P
USGS	02175000	2016-06-04 09:00	EST	5.67	P	1890	P
USGS	02175000	2016-06-04 10:00	EST	5.67	P	1890	P
USGS	02175000	2016-06-04 11:00	EST	5.66	P	1880	P
USGS	02175000	2016-06-04 12:00	EST	5.64	P	1870	P
USGS	02175000	2016-06-04 13:00	EST	5.67	P	1890	P
USGS	02175000	2016-06-04 14:00	EST	5.68	P	1890	P
USGS	02175000	2016-06-04 15:00	EST	5.68	P	1890	P
USGS	02175000	2016-06-04 16:00	EST	5.69	P	1900	P
USGS	02175000	2016-06-04 17:00	EST	5.67	P	1890	P
USGS	02175000	2016-06-04 18:00	EST	5.69	P	1900	P
USGS	02175000	2016-06-04 19:00	EST	5.69	P	1900	P
USGS	02175000	2016-06-04 20:00	EST	5.70	P	1900	P
USGS	02175000	2016-06-04 21:00	EST	5.70	P	1900	P
USGS	02175000	2016-06-04 22:00	EST	5.70	P	1900	P
USGS	02175000	2016-06-04 23:00	EST	5.71	P	1910	P
USGS	02175000	2016-06-05 00:00	EST	5.71	P	1910	P
USGS	02175000	2016-06-05 01:00	EST	5.71	P	1910	P
USGS	02175000	2016-06-05 02:00	EST	5.71	P	1910	P
USGS	02175000	2016-06-05 03:00	EST	5.72	P	1910	P
USGS	02175000	2016-06-05 04:00	EST	5.72	P	1910	P
USGS	02175000	2016-06-05 05:00	EST	5.72	P	1910	P
USGS	02175000	2016-06-05 06:00	EST	5.73	P	1920	P
USGS	02175000	2016-06-05 07:00	EST	5.73	P	1920	P
USGS	02175000	2016-06-05 08:00	EST	5.73	P	1920	P
USGS	02175000	2016-06-05 09:00	EST	5.73	P	1920	P
USGS	02175000	2016-06-05 10:00	EST	5.74	P	1920	P
USGS	02175000	2016-06-05 11:00	EST	5.74	P	1920	P
USGS	02175000	2016-06-05 12:00	EST	5.74	P	1920	P
USGS	02175000	2016-06-05 13:00	EST	5.74	P	1920	P
USGS	02175000	2016-06-05 14:00	EST	5.74	P	1920	P
USGS	02175000	2016-06-05 15:00	EST	5.92	P	2010	P
USGS	02175000	2016-06-05 16:00	EST	6.03	P	2070	P
USGS	02175000	2016-06-05 17:00	EST	6.08	P	2090	P
USGS	02175000	2016-06-05 18:00	EST	6.11	P	2110	P
USGS	02175000	2016-06-05 19:00	EST	6.14	P	2120	P
USGS	02175000	2016-06-05 20:00	EST	6.15	P	2130	P
USGS	02175000	2016-06-05 21:00	EST	6.17	P	2140	P
USGS	02175000	2016-06-05 22:00	EST	6.17	P	2140	P
USGS	02175000	2016-06-05 23:00	EST	6.18	P	2140	P
USGS	02175000	2016-06-06 00:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 01:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 02:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 03:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 04:00	EST	6.20	P	2150	P
USGS	02175000	2016-06-06 05:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 06:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 07:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 08:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 09:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 10:00	EST	6.18	P	2140	P
USGS	02175000	2016-06-06 11:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 12:00	EST	6.20	P	2150	P
USGS	02175000	2016-06-06 13:00	EST	6.19	P	2150	P
USGS	02175000	2016-06-06 14:00	EST	6.23	P	2170	P
USGS	02175000	2016-06-06 15:00	EST	6.24	P	2170	P
USGS	02175000	2016-06-06 16:00	EST	6.27	P	2190	P
USGS	02175000	2016-06-06 17:00	EST	6.32	P	2220	P
USGS	02175000	2016-06-06 18:00	EST	6.34	P	2230	P
USGS	02175000	2016-06-06 19:00	EST	6.39	P	2250	P
USGS	02175000	2016-06-06 20:00	EST	6.50	P	2310	P
USGS	02175000	2016-06-06 21:00	EST	6.57	P	2350	P
USGS	02175000	2016-06-06 22:00	EST	6.62	P	2380	P
USGS	02175000	2016-06-06 23:00	EST	6.71	P	2430	P
USGS	02175000	2016-06-07 00:00	EST	6.77	P	2460	P
USGS	02175000	2016-06-07 01:00	EST	6.84	P	2500	P
USGS	02175000	2016-06-07 02:00	EST	6.91	P	2540	P
USGS	02175000	2016-06-07 03:00	EST	6.97	P	2570	P
USGS	02175000	2016-06-07 04:00	EST	7.04	P	2620	P
USGS	02175000	2016-06-07 05:00	EST	7.08	P	2640	P
USGS	02175000	2016-06-07 06:00	EST	7.13	P	2680	P
USGS	02175000	2016-06-07 07:00	EST	7.18	P	2710	P
USGS	02175000	2016-06-07 08:00	EST	7.22	P	2740	P
USGS	02175000	2016-06-07 09:00	EST	7.27	P	2780	P
USGS	02175000	2016-06-07 10:00	EST	7.31	P	2810	P
USGS	02175000	2016-06-07 11:00	EST	7.35	P	2830	P
USGS	02175000	2016-06-07 12:00	EST	7.38	P	2860	P
USGS	02175000	2016-06-07 13:00	EST	7.41	P	2880	P
USGS	02175000	2016-06-07 14:00	EST	7.45	P	2910	P
USGS	02175000	2016-06-07 15:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-07 16:00	EST	7.51	P	2950	P
USGS	02175000	2016-06-07 17:00	EST	7.54	P	2970	P
USGS	02175000	2016-06-07 18:00	EST	7.57	P	2990	P
USGS	02175000	2016-06-07 19:00	EST	7.61	P	3020	P
USGS	02175000	2016-06-07 20:00	EST	7.64	P	3050	P
USGS	02175000	2016-06-07 21:00	EST	7.67	P	3070	P
USGS	02175000	2016-06-07 22:00	EST	7.71	P	3100	P
USGS	02175000	2016-06-07 23:00	EST	7.75	P	3130	P
USGS	02175000	2016-06-08 00:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-08 01:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-08 02:00	EST	7.84	P	3200	P
USGS	02175000	2016-06-08 03:00	EST	7.86	P	3210	P
USGS	02175000	2016-06-08 04:00	EST	7.89	P	3240	P
USGS	02175000	2016-06-08 05:00	EST	7.92	P	3260	P
USGS	02175000	2016-06-08 06:00	EST	7.95	P	3280	P
USGS	02175000	2016-06-08 07:00	EST	7.98	P	3300	P
USGS	02175000	2016-06-08 08:00	EST	8.00	P	3320	P
USGS	02175000	2016-06-08 09:00	EST	8.03	P	3340	P
USGS	02175000	2016-06-08 10:00	EST	8.06	P	3370	P
USGS	02175000	2016-06-08 11:00	EST	8.07	P	3380	P
USGS	02175000	2016-06-08 12:00	EST	8.09	P	3390	P
USGS	02175000	2016-06-08 13:00	EST	8.11	P	3410	P
USGS	02175000	2016-06-08 14:00	EST	8.12	P	3420	P
USGS	02175000	2016-06-08 15:00	EST	8.12	P	3420	P
USGS	02175000	2016-06-08 16:00	EST	8.15	P	3440	P
USGS	02175000	2016-06-08 17:00	EST	8.16	P	3450	P
USGS	02175000	2016-06-08 18:00	EST	8.16	P	3450	P
USGS	02175000	2016-06-08 19:00	EST	8.17	P	3460	P
USGS	02175000	2016-06-08 20:00	EST	8.18	P	3470	P
USGS	02175000	2016-06-08 21:00	EST	8.19	P	3480	P
USGS	02175000	2016-06-08 22:00	EST	8.20	P	3490	P
USGS	02175000	2016-06-08 23:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 00:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 01:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 02:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 03:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 04:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 05:00	EST	8.21	P	3490	P
USGS	02175000	2016-06-09 06:00	EST	8.20	P	3490	P
USGS	02175000	2016-06-09 07:00	EST	8.20	P	3490	P
USGS	02175000	2016-06-09 08:00	EST	8.19	P	3480	P
USGS	02175000	2016-06-09 09:00	EST	8.19	P	3480	P
USGS	02175000	2016-06-09 10:00	EST	8.16	P	3450	P
USGS	02175000	2016-06-09 11:00	EST	8.16	P	3450	P
USGS	02175000	2016-06-09 12:00	EST	8.15	P	3440	P
USGS	02175000	2016-06-09 13:00	EST	8.13	P	3430	P
USGS	02175000	2016-06-09 14:00	EST	8.11	P	3410	P
USGS	02175000	2016-06-09 15:00	EST	8.10	P	3400	P
USGS	02175000	2016-06-09 16:00	EST	8.08	P	3390	P
USGS	02175000	2016-06-09 17:00	EST	8.07	P	3380	P
USGS	02175000	2016-06-09 18:00	EST	8.05	P	3360	P
USGS	02175000	2016-06-09 19:00	EST	8.02	P	3340	P
USGS	02175000	2016-06-09 20:00	EST	7.99	P	3310	P
USGS	02175000	2016-06-09 21:00	EST	8.00	P	3320	P
USGS	02175000	2016-06-09 22:00	EST	7.99	P	3310	P
USGS	02175000	2016-06-09 23:00	EST	7.97	P	3300	P
USGS	02175000	2016-06-10 00:00	EST	7.96	P	3290	P
USGS	02175000	2016-06-10 01:00	EST	7.94	P	3270	P
USGS	02175000	2016-06-10 02:00	EST	7.93	P	3270	P
USGS	02175000	2016-06-10 03:00	EST	7.91	P	3250	P
USGS	02175000	2016-06-10 04:00	EST	7.89	P	3240	P
USGS	02175000	2016-06-10 05:00	EST	7.89	P	3240	P
USGS	02175000	2016-06-10 06:00	EST	7.87	P	3220	P
USGS	02175000	2016-06-10 07:00	EST	7.86	P	3210	P
USGS	02175000	2016-06-10 08:00	EST	7.84	P	3200	P
USGS	02175000	2016-06-10 09:00	EST	7.84	P	3200	P
USGS	02175000	2016-06-10 10:00	EST	7.82	P	3180	P
USGS	02175000	2016-06-10 11:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-10 12:00	EST	7.79	P	3160	P
USGS	02175000	2016-06-10 13:00	EST	7.78	P	3150	P
USGS	02175000	2016-06-10 14:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-10 15:00	EST	7.75	P	3130	P
USGS	02175000	2016-06-10 16:00	EST	7.74	P	3120	P
USGS	02175000	2016-06-10 17:00	EST	7.72	P	3110	P
USGS	02175000	2016-06-10 18:00	EST	7.71	P	3100	P
USGS	02175000	2016-06-10 19:00	EST	7.70	P	3090	P
USGS	02175000	2016-06-10 20:00	EST	7.69	P	3080	P
USGS	02175000	2016-06-10 21:00	EST	7.68	P	3080	P
USGS	02175000	2016-06-10 22:00	EST	7.68	P	3080	P
USGS	02175000	2016-06-10 23:00	EST	7.67	P	3070	P
USGS	02175000	2016-06-11 00:00	EST	7.65	P	3050	P
USGS	02175000	2016-06-11 01:00	EST	7.65	P	3050	P
USGS	02175000	2016-06-11 02:00	EST	7.64	P	3050	P
USGS	02175000	2016-06-11 03:00	EST	7.63	P	3040	P
USGS	02175000	2016-06-11 04:00	EST	7.62	P	3030	P
USGS	02175000	2016-06-11 05:00	EST	7.61	P	3020	P
USGS	02175000	2016-06-11 06:00	EST	7.61	P	3020	P
USGS	02175000	2016-06-11 07:00	EST	7.60	P	3020	P
USGS	02175000	2016-06-11 08:00	EST	7.59	P	3010	P
USGS	02175000	2016-06-11 09:00	EST	7.56	P	2990	P
USGS	02175000	2016-06-11 10:00	EST	7.55	P	2980	P
USGS	02175000	2016-06-11 11:00	EST	7.54	P	2970	P
USGS	02175000	2016-06-11 12:00	EST	7.55	P	2980	P
USGS	02175000	2016-06-11 13:00	EST	7.53	P	2970	P
USGS	02175000	2016-06-11 14:00	EST	7.53	P	2970	P
USGS	02175000	2016-06-11 15:00	EST	7.52	P	2960	P
USGS	02175000	2016-06-11 16:00	EST	7.51	P	2950	P
USGS	02175000	2016-06-11 17:00	EST	7.49	P	2940	P
USGS	02175000	2016-06-11 18:00	EST	7.49	P	2940	P
USGS	02175000	2016-06-11 19:00	EST	7.49	P	2940	P
USGS	02175000	2016-06-11 20:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-11 21:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-11 22:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-11 23:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 00:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 01:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 02:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 03:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 04:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 05:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 06:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 07:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 08:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 09:00	EST	7.49	P	2940	P
USGS	02175000	2016-06-12 10:00	EST	7.47	P	2920	P
USGS	02175000	2016-06-12 11:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-12 12:00	EST	7.49	P	2940	P
USGS	02175000	2016-06-12 13:00	EST	7.51	P	2950	P
USGS	02175000	2016-06-12 14:00	EST	7.49	P	2940	P
USGS	02175000	2016-06-12 15:00	EST	7.51	P	2950	P
USGS	02175000	2016-06-12 16:00	EST	7.50	P	2940	P
USGS	02175000	2016-06-12 17:00	EST	7.53	P	2970	P
USGS	02175000	2016-06-12 18:00	EST	7.53	P	2970	P
USGS	02175000	2016-06-12 19:00	EST	7.56	P	2990	P
USGS	02175000	2016-06-12 20:00	EST	7.58	P	3000	P
USGS	02175000	2016-06-12 21:00	EST	7.59	P	3010	P
USGS	02175000	2016-06-12 22:00	EST	7.60	P	3020	P
USGS	02175000	2016-06-12 23:00	EST	7.61	P	3020	P
USGS	02175000	2016-06-13 00:00	EST	7.63	P	3040	P
USGS	02175000	2016-06-13 01:00	EST	7.64	P	3050	P
USGS	02175000	2016-06-13 02:00	EST	7.65	P	3050	P
USGS	02175000	2016-06-13 03:00	EST	7.66	P	3060	P
USGS	02175000	2016-06-13 04:00	EST	7.68	P	3080	P
USGS	02175000	2016-06-13 05:00	EST	7.69	P	3080	P
USGS	02175000	2016-06-13 06:00	EST	7.70	P	3090	P
USGS	02175000	2016-06-13 07:00	EST	7.71	P	3100	P
USGS	02175000	2016-06-13 08:00	EST	7.73	P	3110	P
USGS	02175000	2016-06-13 09:00	EST	7.74	P	3120	P
USGS	02175000	2016-06-13 10:00	EST	7.74	P	3120	P
USGS	02175000	2016-06-13 11:00	EST	7.74	P	3120	P
USGS	02175000	2016-06-13 12:00	EST	7.76	P	3140	P
USGS	02175000	2016-06-13 13:00	EST	7.76	P	3140	P
USGS	02175000	2016-06-13 14:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-13 15:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-13 16:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-13 17:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-13 18:00	EST	7.76	P	3140	P
USGS	02175000	2016-06-13 19:00	EST	7.78	P	3150	P
USGS	02175000	2016-06-13 20:00	EST	7.79	P	3160	P
USGS	02175000	2016-06-13 21:00	EST	7.79	P	3160	P
USGS	02175000	2016-06-13 22:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-13 23:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-14 00:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-14 01:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-14 02:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-14 03:00	EST	7.81	P	3170	P
USGS	02175000	2016-06-14 04:00	EST	7.81	P	3170	P
USGS	02175000	2016-06-14 05:00	EST	7.81	P	3170	P
USGS	02175000	2016-06-14 06:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-14 07:00	EST	7.80	P	3170	P
USGS	02175000	2016-06-14 08:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-14 09:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-14 10:00	EST	7.79	P	3160	P
USGS	02175000	2016-06-14 11:00	EST	7.78	P	3150	P
USGS	02175000	2016-06-14 12:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-14 13:00	EST	7.77	P	3140	P
USGS	02175000	2016-06-14 14:00	EST	7.74	P	3120	P
USGS	02175000	2016-06-14 15:00	EST	7.73	P	3110	P
USGS	02175000	2016-06-14 16:00	EST	7.74	P	3120	P
USGS	02175000	2016-06-14 17:00	EST	7.73	P	3110	P
USGS	02175000	2016-06-14 18:00	EST	7.72	P	3110	P
USGS	02175000	2016-06-14 19:00	EST	7.71	P	3100	P
USGS	02175000	2016-06-14 20:00	EST	7.70	P	3090	P
USGS	02175000	2016-06-14 21:00	EST	7.69	P	3080	P
USGS	02175000	2016-06-14 22:00	EST	7.68	P	3080	P
USGS	02175000	2016-06-14 23:00	EST	7.67	P	3070	P
USGS	02175000	2016-06-15 00:00	EST	7.65	P	3050	P
USGS	02175000	2016-06-15 01:00	EST	7.64	P	3050	P
USGS	02175000	2016-06-15 02:00	EST	7.62	P	3030	P
USGS	02175000	2016-06-15 03:00	EST	7.61	P	3020	P
USGS	02175000	2016-06-15 04:00	EST	7.59	P	3010	P
USGS	02175000	2016-06-15 05:00	EST	7.58	P	3000	P
USGS	02175000	2016-06-15 06:00	EST	7.56	P	2990	P
USGS	02175000	2016-06-15 07:00	EST	7.54	P	2970	P
USGS	02175000	2016-06-15 08:00	EST	7.51	P	2950	P
USGS	02175000	2016-06-15 09:00	EST	7.51	P	2950	P
USGS	02175000	2016-06-15 10:00	EST	7.48	P	2930	P
USGS	02175000	2016-06-15 11:00	EST	7.46	P	2910	P
USGS	02175000	2016-06-15 12:00	EST	7.42	P	2890	P
USGS	02175000	2016-06-15 13:00	EST	7.39	P	2860	P
USGS	02175000	2016-06-15 14:00	EST	7.40	P	2870	P
USGS	02175000	2016-06-15 15:00	EST	7.36	P	2840	P
USGS	02175000	2016-06-15 16:00	EST	7.33	P	2820	P
USGS	02175000	2016-06-15 17:00	EST	7.31	P	2810	P
USGS	02175000	2016-06-15 18:00	EST	7.31	P	2810	P
USGS	02175000	2016-06-15 19:00	EST	7.25	P	2760	P
USGS	02175000	2016-06-15 20:00	EST	7.26	P	2770	P
USGS	02175000	2016-06-15 21:00	EST	7.23	P	2750	P
USGS	02175000	2016-06-15 22:00	EST	7.21	P	2740	P
USGS	02175000	2016-06-15 23:00	EST	7.19	P	2720	P
USGS	02175000	2016-06-16 00:00	EST	7.16	P	2700	P
USGS	02175000	2016-06-16 01:00	EST	7.13	P	2680	P
USGS	02175000	2016-06-16 02:00	EST	7.11	P	2670	P
USGS	02175000	2016-06-16 03:00	EST	7.08	P	2640	P
USGS	02175000	2016-06-16 04:00	EST	7.06	P	2630	P
USGS	02175000	2016-06-16 05:00	EST	7.03	P	2610	P
USGS	02175000	2016-06-16 06:00	EST	6.97	P	2570	P
USGS	02175000	2016-06-16 07:00	EST	6.94	P	2560	P
USGS	02175000	2016-06-16 08:00	EST	6.92	P	2540	P
USGS	02175000	2016-06-16 09:00	EST	6.91	P	2540	P
USGS	02175000	2016-06-16 10:00	EST	6.84	P	2500	P
USGS	02175000	2016-06-16 11:00	EST	6.81	P	2480	P
USGS	02175000	2016-06-16 12:00	EST	6.77	P	2460	P
USGS	02175000	2016-06-16 13:00	EST	6.76	P	2460	P
USGS	02175000	2016-06-16 14:00	EST	6.73	P	2440	P
USGS	02175000	2016-06-16 15:00	EST	6.67	P	2410	P
USGS	02175000	2016-06-16 16:00	EST	6.67	P	2410	P
USGS	02175000	2016-06-16 17:00	EST	6.62	P	2380	P
USGS	02175000	2016-06-16 18:00	EST	6.59	P	2360	P
USGS	02175000	2016-06-16 19:00	EST	6.55	P	2340	P
USGS	02175000	2016-06-16 20:00	EST	6.52	P	2320	P
USGS	02175000	2016-06-16 21:00	EST	6.48	P	2300	P
USGS	02175000	2016-06-16 22:00	EST	6.45	P	2290	P
USGS	02175000	2016-06-16 23:00	EST	6.41	P	2260	P
USGS	02175000	2016-06-17 00:00	EST	6.38	P	2250	P
USGS	02175000	2016-06-17 01:00	EST	6.35	P	2230	P
USGS	02175000	2016-06-17 02:00	EST	6.31	P	2210	P
USGS	02175000	2016-06-17 03:00	EST	6.28	P	2200	P
USGS	02175000	2016-06-17 04:00	EST	6.24	P	2170	P
USGS	02175000	2016-06-17 05:00	EST	6.21	P	2160	P
USGS	02175000	2016-06-17 06:00	EST	6.17	P	2140	P
USGS	02175000	2016-06-17 07:00	EST	6.14	P	2120	P
USGS	02175000	2016-06-17 08:00	EST	6.06	P	2080	P
